Id	CID	CASIdentifier	Name	IUPAC	InChIKey	InChI	SMILES
CAS:472-70-8	5281235	CAS:472-70-8	beta-Cryptoxanthin	(1R)-3,5,5-trimethyl-4-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethylcyclohexen-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaenyl]cyclohex-3-en-1-ol	DMASLKHVQRHNES-FKKUPVFPSA-N	InChI=1S/C40H56O/c1-30(18-13-20-32(3)23-25-37-34(5)22-15-27-39(37,7)8)16-11-12-17-31(2)19-14-21-33(4)24-26-38-35(6)28-36(41)29-40(38,9)10/h11-14,16-21,23-26,36,41H,15,22,27-29H2,1-10H3/b12-11+,18-13+,19-14+,25-23+,26-24+,30-16+,31-17+,32-20+,33-21+/t36-/m1/s1	CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=CC2=C(CC(CC2(C)C)O)C)C)C
CAS:106-68-3	246728	CAS:106-68-3	3-Octanone	octan-3-one	RHLVCLIPMVJYKS-UHFFFAOYSA-N	InChI=1S/C8H16O/c1-3-5-6-7-8(9)4-2/h3-7H2,1-2H3	CCCCCC(=O)CC
CAS:147217-81-0	12073152	CAS:147217-81-0	3,4,4'-Tribromodiphenyl ether	1,2-dibromo-4-(4-bromophenoxy)benzene	YALAYFVVZFORPV-UHFFFAOYSA-N	InChI=1S/C12H7Br3O/c13-8-1-3-9(4-2-8)16-10-5-6-11(14)12(15)7-10/h1-7H	C1=CC(=CC=C1OC2=CC(=C(C=C2)Br)Br)Br
CAS:94-26-8	7184	CAS:94-26-8	Butylparaben	butyl 4-hydroxybenzoate	QFOHBWFCKVYLES-UHFFFAOYSA-N	InChI=1S/C11H14O3/c1-2-3-8-14-11(13)9-4-6-10(12)7-5-9/h4-7,12H,2-3,8H2,1H3	CCCCOC(=O)C1=CC=C(C=C1)O
CAS:99-76-3	7456	CAS:99-76-3	Methylparaben	methyl 4-hydroxybenzoate	LXCFILQKKLGQFO-UHFFFAOYSA-N	InChI=1S/C8H8O3/c1-11-8(10)6-2-4-7(9)5-3-6/h2-5,9H,1H3	COC(=O)C1=CC=C(C=C1)O
CAS:71320-77-9	4235	CAS:71320-77-9	Moclobemide	4-chloro-N-(2-morpholin-4-ylethyl)benzamide	YHXISWVBGDMDLQ-UHFFFAOYSA-N	InChI=1S/C13H17ClN2O2/c14-12-3-1-11(2-4-12)13(17)15-5-6-16-7-9-18-10-8-16/h1-4H,5-10H2,(H,15,17)	C1COCCN1CCNC(=O)C2=CC=C(C=C2)Cl
CAS:134-85-0	8653	CAS:134-85-0	4-Chlorobenzophenone	(4-chlorophenyl)-phenylmethanone	UGVRJVHOJNYEHR-UHFFFAOYSA-N	InChI=1S/C13H9ClO/c14-12-8-6-11(7-9-12)13(15)10-4-2-1-3-5-10/h1-9H	C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl
CAS:120-47-8	8434	CAS:120-47-8	Ethylparaben	ethyl 4-hydroxybenzoate	NUVBSKCKDOMJSU-UHFFFAOYSA-N	InChI=1S/C9H10O3/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6,10H,2H2,1H3	CCOC(=O)C1=CC=C(C=C1)O
CAS:94-13-3	7175	CAS:94-13-3	Propylparaben	propyl 4-hydroxybenzoate	QELSKZZBTMNZEB-UHFFFAOYSA-N	InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3	CCCOC(=O)C1=CC=C(C=C1)O
CAS:104-40-5	1752	CAS:104-40-5	4-Nonylphenol	4-nonylphenol	IGFHQQFPSIBGKE-UHFFFAOYSA-N	InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3	CCCCCCCCCC1=CC=C(C=C1)O
CAS:3734-48-3	19519	CAS:3734-48-3	Chlordene	1,7,8,9,10,10-hexachlorotricyclo[5.2.1.02,6]deca-3,8-diene	XCJXQCUJXDUNDN-UHFFFAOYSA-N	InChI=1S/C10H6Cl6/c11-6-7(12)9(14)5-3-1-2-4(5)8(6,13)10(9,15)16/h1-2,4-5H,3H2	C1C=CC2C1C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
CAS:39765-80-5	12313421	CAS:39765-80-5	trans-Nonachlor	(1R,2S,3R,5S,6R,7S)-1,3,4,5,7,8,9,10,10-nonachlorotricyclo[5.2.1.02,6]dec-8-ene	OCHOKXCPKDPNQU-FLVMBEMLSA-N	InChI=1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H/t1-,2+,3+,4-,5?,8+,9-	C12C(C(C(C1Cl)Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
CAS:5103-73-1	12313426	CAS:5103-73-1	cis-Nonachlor	(1R,2R,3S,5R,6S,7S)-1,3,4,5,7,8,9,10,10-nonachlorotricyclo[5.2.1.02,6]dec-8-ene	OCHOKXCPKDPNQU-MSFPVELZSA-N	InChI=1S/C10H5Cl9/c11-3-1-2(4(12)5(3)13)9(17)7(15)6(14)8(1,16)10(9,18)19/h1-5H/t1-,2+,3+,4-,5?,8-,9+	C12C(C(C(C1Cl)Cl)Cl)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
